song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Live Your Life,T.I. Featuring Rihanna,1,1,8,8
Use Somebody,Kings of Leon,86,86,1,1
Already Gone,Sugarland,51,51,8,8
On The Line,Demi Lovato Featuring Jonas Brothers,100,100,1,1
Keeps Gettin' Better,Christina Aguilera,7,7,7,7
Gotta Be Somebody,Nickelback,10,10,7,7
Light On,David Cook,17,17,6,6
Human,The Killers,32,32,7,7
Dead And Gone,T.I. Featuring Justin Timberlake,76,76,1,1
Go Girl,Ciara Featuring T-Pain,78,78,1,1
It's Over,Jesse McCartney,62,62,5,5
Without You,Hinder,89,89,2,2
I'll Walk,Bucky Covington,70,70,7,7
Here,Rascal Flatts,62,62,7,7
All I Ever Wanted,Chuck Wicks,86,86,4,4
Womanizer,Britney Spears,1,1,7,7
In Color,Jamey Johnson,74,74,7,7
I'm So Paid,Akon Featuring Lil Wayne & Young Jeezy,40,40,5,5
Headfirst Slide Into Cooperstown On A Bad Bet,Fall Out Boy,74,74,1,1
Bust Your Windows,Jazmine Sullivan,38,38,6,6
Feel That Fire,Dierks Bentley,80,80,6,6
Lookin' For A Good Time,Lady Antebellum,68,68,6,6
The Shock Of The Lightning,Oasis,93,93,1,1
"You're Gonna Go Far, Kid",The Offspring,71,71,6,6
If I Were A Boy,Beyonce,3,3,6,6
Fearless,Taylor Swift,9,9,4,4
Freeze,T-Pain Featuring Chris Brown,38,38,3,3
Get Up,50 Cent,44,44,5,5
Start A Band,Brad Paisley Duet With Keith Urban,55,55,5,5
Single Ladies (Put A Ring On It),Beyonce,28,28,5,5
Chopped 'N' Skrewed,T-Pain Featuring Ludacris,39,39,5,5
Cuddy Buddy,Mike Jones Featuring Trey Songz & Twista,76,76,3,3
Love Remembers,Craig Morgan,73,73,5,5
You Are The Best Thing,Ray LaMontagne,90,90,1,1
Be OK,Ingrid Michaelson,91,91,1,1
I Don't Care,Apocalyptica Featuring Adam Gontier,92,92,5,5
"What A Catch, Donnie",Fall Out Boy,94,94,1,1
Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,50,50,5,5
Chasing Pavements,Adele,82,82,1,1
Sex On Fire,Kings of Leon,56,56,4,4
Don't,Billy Currington,86,86,4,4
Lloro Por Ti,Enrique Iglesias,91,91,1,1
Broken,Lifehouse,92,92,4,4
Did You Wrong,Pleasure P,90,90,3,3
She Wouldn't Be Gone,Blake Shelton,87,87,4,4
Can I Have This Dance,Zac Efron & Vanessa Hudgens,98,98,2,2
You're Not Sorry,Taylor Swift,11,11,2,2
Country Boy,Alan Jackson,84,84,3,3
One More Drink,Ludacris Co-Starring T-Pain,54,54,3,3
Angels,David Archuleta,89,89,1,1
Something In Your Mouth,Nickelback,96,96,1,1
Don't Trust Me,3OH!3,99,99,1,1
Trading Places,Usher,80,80,3,3
Heartless,Kanye West,4,4,2,2
You Belong With Me,Taylor Swift,12,12,1,1
Decode,Paramore,34,34,2,2
Spaceman,The Killers,67,67,1,1
It's A New Day,will.i.am,78,78,1,1
Rehab,Rihanna,61,61,2,2
My President,Young Jeezy Featuring Nas,92,92,1,1
Too Drunk...,Buckcherry,96,96,1,1
Leave Out All The Rest,Linkin Park,99,99,1,1
White Horse,Taylor Swift,13,13,1,1
Chinese Democracy,Guns N' Roses,34,34,1,1
If Today Was Your Last Day,Nickelback,35,35,1,1
Sweet Thing,Keith Urban,43,43,1,1
Forever & Always,Taylor Swift,49,49,1,1
Gives You Hell,The All-American Rejects,69,69,1,1
The Way I Loved You,Taylor Swift,72,72,1,1
Fifteen,Taylor Swift,79,79,1,1
Another Way to Die,Jack White & Alicia Keys,81,81,1,1
Cowgirls Don't Cry,Brooks & Dunn Featuring Reba McEntire,85,85,1,1
Breathe,Taylor Swift Featuring Colbie Caillat,87,87,1,1
She's Country,Jason Aldean,90,90,1,1
Hey Stephen,Taylor Swift,94,94,1,1
Troublemaker,Akon Featuring Sweet Rush,97,97,1,1
Playa Cardz Right,Keyshia Cole Featuring 2Pac,99,99,1,1
